ID,Statia,Linia,Latitudine,Longitudine
1,Piata Gai,6,46209895,21277634
2,Bogdan Voievod,6,46205313,21280051
3,Scoala,6,46203014,21281485
4,Baile Termale,"1b,6",46201296,21283884
5,Galleria,"1b,6",46201066,21291992
6,Făt Frumos,"1,1b,3,7,9,11,15,15b,18b",46202892,21291595
7,Fortuna,"1,3,6,7,9,11,15,15b,18b",46199371,21294785
8,Electrometal,"1,3,6,7,9,11,15,15b,18b",46194813,21301402
9,Piata U.T.A.1->Vlaicu,"1,3,6,7,9,11,15,15b,18b",46192412,21307120
10,Piata U.T.A.2->Podgoria,"1,3,6,7,9,11,15,15b",46192088,21308294
11,Atrium,"1,3,6,7,9,11,15,15b",46190158,21318832
12,Gara CFR,"1,3,6,7,9,11,15,15b",46188910,21324184
13,Caius Iacob,"1,3,6,7,9,11,15,15b",46185911,21324912
14,Podgoria1->Vlaicu,"1,3,6,7,9,11,16",46183323,21323791
15,Podgoria2->centru,"1,3,6,10,12,16,18b",46182630,21323172
16,Podgoria3->Micalaca,"7,9,10,11,12,18b",46182563,21324141
17,Crisan,"1,3,6,10,12,16,18b",46178497,21319729
18,Primărie,"1,3,6,10,12,16,18b",46175759,21318227
19,Teatru,"1,3,6,10,12,16,18b",46172239,21315995
20,Piata Romană,"1,3,6,10,12,16,18b",46167701,21319749
21,Romanilor,3,46165786,21321705
22,Traian,3,46162421,21323073
23,Ana Ipătescu,3,46156391,21321653
24,Caraimanul,3,46152302,21321745
25,Autoservice,3,46146085,21321646
26,Stan Dragul,3,46145326,21326068
27,Gara Aradul Nou,3,46145007,21334266
28,Aris,18b,46188805,21303050
29,Orologerie,18b,46184874,21300028
30,Confectii,18b,46180195,21296474
31,Cpt. Ignat,18b,46174296,21293629
32,Pomenirea,18b,46169090,21291368
33,Alfa,18b,46165985,21290300
34,Clujului,18b,46166249,21295334
35,Andrei Saguna,18b,46166556,21301729
36,Hodos,18b,46166821,21305931
37,Biserica Sarbeasca,18b,46166800,21310892
38,Astra Sector II,"15,15b,16",46191782,21330235
39,Gorunului,"15,15b,16",46195127,21333834
40,Vama Grădiste,"15,15b,16",46199557,21338720
41,Sere,"15,15b,16",46202922,21342451
42,Grădinita Sere,15b,46206275,21346181
43,Avicola,15b,46209154,21349397
44,C.E.T.,15b,46215756,21325919
45,Uzina Electrică,"7,9,10,11,12,18b",46181032,21333858
46,Maranata,"7,18b",46179272,21340402
47,Universitate,"7,18b",46176936,21345227
48,Euromedic,"7,18b",46175544,21347173
49,Billa,"7,18b",46172850,21348190
50,Voinicilor,"7,18b",46170967,21357876
51,Grădinita,"7,18b",46175258,21359817
52,Renasterii,"7,9,10,11,12,18b",46176580,21360412
53,Păsunii,"7,9,10,11,12,18b",46177795,21354898
54,Miorita,"7,9,10,11,12,18b",46179282,21348590
55,Maximilian,"7,9,10,11,12,18b",46180147,21344561
56,Vama Micălaca,"9,10,11,12",46175462,21365587
57,Vladimirescu I,"9,10,11,12",46167198,21393060
58,Vladimirescu Moara,"9,10,11,12",46163388,21405251
59,Vladimirescu II,"9,10,11,12",46160919,21413030
60,DN7,"9,10,11,12,14",46156987,21428482
61,Combinatul Chimic,"9,10,14",46166359,21432237
62,Mandruloc,"11,12,14",46148095,21465265
63,Cicir,"11,12,14",46145989,21480319
64,Sambateni,"11,12,14",46141038,21524253
65,Ghioroc,"11,12,14",46156457,21593755
66,RAR,1b,46201337,21276320
67,UM,1b,46201366,21269648
68,Piata Auto,1b,46202024,21260803
69,Platforma Vest,1b,46204968,21255318
